planned_budget,planned_duration,team_size,technical_complexity,stakeholder_count,methodology,project_type,risk_level
1000000,6,9,5,5,Agile,Web Development,low
1000000,4,28,8,10,Iterative,AI/ML,medium
1000000,6,44,1,10,Iterative,Blockchain,medium
5000000,6,37,10,11,V-Model,Mobile App,high
2000000,4,29,2,18,Agile,Data Analytics,low
5000000,4,15,4,13,Spiral,Cloud Migration,low
3000000,6,14,1,16,Iterative,Mobile App,low
2000000,6,14,7,11,Waterfall,IoT,medium
4000000,6,29,9,12,Agile,IoT,high
3000000,4,21,6,9,Agile,Data Analytics,low
4000000,6,21,5,11,Waterfall,AI/ML,medium
3000000,4,14,6,1,Prototyping,Enterprise Software,low
5000000,4,9,7,13,Agile,IoT,medium
2000000,4,10,10,2,Waterfall,Enterprise Software,medium
2000000,4,49,7,8,Agile,IoT,high
5000000,6,5,2,15,Agile,Mobile App,low
2000000,4,34,1,19,V-Model,DevOps,medium
2000000,6,27,4,18,Iterative,IoT,medium
2000000,6,44,10,5,Agile,Cloud Migration,high
2000000,4,39,7,12,Iterative,AI/ML,high
2000000,6,26,10,8,Spiral,Cloud Migration,high
4000000,6,25,10,17,Agile,Cybersecurity,high
4000000,6,47,9,16,Agile,DevOps,high
5000000,4,30,3,19,Iterative,Data Analytics,low
1000000,4,27,1,6,Waterfall,Enterprise Software,low
4000000,4,42,2,11,Agile,IoT,medium
1000000,4,48,5,10,Agile,DevOps,high
2000000,4,25,10,8,Iterative,DevOps,medium
1000000,6,37,5,7,Spiral,Data Analytics,high
3000000,4,37,9,14,Spiral,Blockchain,high
1000000,6,26,6,11,Waterfall,AI/ML,medium
5000000,6,8,7,13,Prototyping,Data Analytics,low
3000000,6,19,9,13,Spiral,Enterprise Software,high
5000000,4,24,2,5,Agile,Mobile App,low
5000000,4,19,4,7,Waterfall,Web Development,medium
5000000,4,35,5,12,Agile,Cloud Migration,medium
2000000,4,33,8,20,Iterative,Mobile App,medium
3000000,4,29,1,18,Waterfall,Web Development,medium
4000000,6,17,4,18,V-Model,Cybersecurity,low
2000000,6,14,8,7,Spiral,Web Development,medium
2000000,4,49,4,15,Iterative,Data Analytics,high
1000000,6,17,8,1,Agile,DevOps,medium
4000000,6,13,9,17,Agile,Mobile App,low
4000000,6,16,10,9,Spiral,Cybersecurity,medium
4000000,4,22,10,12,Agile,DevOps,medium
5000000,6,37,2,8,Iterative,Mobile App,high
4000000,4,47,10,18,Agile,Cloud Migration,high
2000000,4,16,6,1,Agile,Cybersecurity,low
5000000,6,48,2,12,Waterfall,Mobile App,high
3000000,6,45,8,15,Waterfall,Web Development,high
2000000,4,40,2,4,Spiral,Mobile App,high
4000000,4,27,9,2,Prototyping,Blockchain,low
1000000,4,18,1,12,V-Model,Cloud Migration,low
1000000,4,37,9,13,Agile,Cybersecurity,high
2000000,4,12,4,2,Spiral,AI/ML,low
1000000,6,40,9,9,Agile,Blockchain,high
1000000,6,40,6,12,Agile,Data Analytics,medium
5000000,4,10,4,15,Waterfall,Enterprise Software,low
4000000,4,49,3,7,Iterative,Web Development,high
1000000,4,10,6,10,Waterfall,Cybersecurity,low
1000000,6,32,1,20,Iterative,AI/ML,low
4000000,6,6,1,8,Waterfall,Web Development,low
1000000,6,35,6,7,Agile,AI/ML,high
1000000,6,13,2,20,Spiral,IoT,medium
2000000,4,31,4,18,Agile,Data Analytics,low
4000000,6,28,4,20,Waterfall,Web Development,medium
3000000,4,34,9,6,Agile,Mobile App,medium
5000000,4,49,7,18,Agile,IoT,high
3000000,4,10,3,14,Iterative,Cybersecurity,low
3000000,4,43,3,20,Iterative,Data Analytics,medium
5000000,4,7,8,18,Agile,DevOps,low
3000000,4,33,9,8,Spiral,Blockchain,high
1000000,6,46,5,4,Iterative,Web Development,high
3000000,6,7,8,16,Iterative,Cybersecurity,low
5000000,4,36,6,11,Iterative,IoT,high
5000000,6,20,6,7,Spiral,Blockchain,low
1000000,6,45,2,8,Agile,Enterprise Software,high
1000000,4,23,7,20,Waterfall,DevOps,medium
3000000,6,45,10,14,Agile,Data Analytics,high
5000000,4,9,2,14,Agile,Blockchain,low
4000000,4,17,7,8,Iterative,AI/ML,low
1000000,4,36,1,10,Prototyping,Enterprise Software,medium
3000000,4,21,5,8,Waterfall,Data Analytics,medium
5000000,6,10,8,17,Spiral,IoT,low
3000000,6,8,3,2,Agile,Data Analytics,low
5000000,6,38,9,18,Iterative,Blockchain,high
3000000,6,39,5,19,Prototyping,Cybersecurity,medium
3000000,6,24,6,16,Agile,Enterprise Software,medium
2000000,6,49,10,2,Iterative,Data Analytics,high
5000000,6,13,6,8,Agile,IoT,low
5000000,6,20,8,17,Waterfall,DevOps,high
2000000,4,20,3,19,Spiral,DevOps,low
5000000,4,25,2,10,Agile,Blockchain,low
2000000,4,9,6,10,Agile,Blockchain,low
4000000,6,17,8,10,Waterfall,Data Analytics,medium
5000000,6,47,6,7,Iterative,Blockchain,high
5000000,4,13,1,9,Agile,Cybersecurity,low
4000000,6,21,6,13,Iterative,IoT,low
5000000,6,31,3,8,Agile,Mobile App,low
2000000,4,45,6,19,Spiral,Enterprise Software,high
3000000,4,17,6,17,Agile,Blockchain,low
4000000,6,6,8,6,Agile,Data Analytics,low
1000000,6,35,7,20,Spiral,Web Development,high
5000000,4,35,6,8,Waterfall,Web Development,high
5000000,4,28,9,16,Spiral,Web Development,high
2000000,6,30,5,15,Prototyping,Blockchain,medium
3000000,6,40,10,15,Waterfall,Cloud Migration,high
1000000,4,19,3,2,Waterfall,Data Analytics,medium
2000000,4,17,5,17,Waterfall,Data Analytics,low
1000000,6,41,7,3,Agile,Enterprise Software,high
4000000,6,27,9,12,Iterative,Web Development,high
2000000,6,22,7,13,Iterative,Cybersecurity,medium
1000000,4,7,6,5,Agile,Mobile App,low
3000000,4,33,7,5,Spiral,Mobile App,high
2000000,4,32,4,15,V-Model,DevOps,high
3000000,4,37,5,15,Agile,Cloud Migration,medium
3000000,4,43,2,2,Waterfall,Data Analytics,high
3000000,6,25,5,12,Agile,Data Analytics,medium
3000000,4,6,5,12,Iterative,Blockchain,low
3000000,6,45,5,18,Agile,Mobile App,high
5000000,4,12,4,17,Agile,Blockchain,low
2000000,6,13,2,16,Waterfall,Cloud Migration,low
1000000,4,42,8,18,Agile,IoT,high
5000000,4,40,9,4,Agile,Cloud Migration,high
1000000,6,5,7,6,V-Model,Web Development,low
4000000,4,49,3,5,Agile,Enterprise Software,high
2000000,6,20,6,3,Agile,IoT,low
4000000,6,16,5,9,Waterfall,Cybersecurity,medium
3000000,4,22,7,6,Waterfall,Cybersecurity,medium
1000000,4,20,6,13,Agile,Web Development,medium
3000000,6,5,10,8,Agile,Mobile App,low
2000000,4,42,9,4,Iterative,Web Development,high
2000000,4,31,6,7,Agile,Mobile App,medium
5000000,6,31,4,10,Waterfall,Cloud Migration,high
5000000,4,27,6,4,Agile,Enterprise Software,medium
4000000,6,18,7,6,V-Model,Mobile App,medium
5000000,6,46,10,15,Prototyping,Blockchain,high
5000000,4,40,3,12,Agile,AI/ML,medium
4000000,4,28,9,19,Iterative,Enterprise Software,medium
3000000,6,18,9,16,Iterative,AI/ML,medium
3000000,6,39,8,9,Agile,IoT,high
1000000,6,8,6,4,Agile,Mobile App,low
5000000,4,23,7,5,Agile,AI/ML,medium
3000000,6,44,4,8,Iterative,Cloud Migration,medium
3000000,4,43,1,7,Agile,Cloud Migration,medium
2000000,4,12,7,6,Agile,AI/ML,low
4000000,6,16,4,19,Iterative,Cybersecurity,low
2000000,4,19,2,16,V-Model,Blockchain,medium
1000000,4,46,6,6,Agile,Cloud Migration,high
2000000,4,9,1,11,Spiral,IoT,low
5000000,4,6,8,14,Spiral,Enterprise Software,medium
5000000,4,9,5,4,Agile,Web Development,low
3000000,4,9,2,5,Spiral,AI/ML,low
3000000,6,33,6,4,Iterative,Data Analytics,high
5000000,4,49,10,8,Iterative,Cloud Migration,high
2000000,4,39,8,14,Agile,Enterprise Software,high
1000000,4,11,3,18,Iterative,Cybersecurity,low
2000000,6,25,5,8,Spiral,AI/ML,high
1000000,6,23,7,2,Agile,Enterprise Software,low
3000000,6,11,7,4,Iterative,AI/ML,low
5000000,4,38,4,11,Agile,AI/ML,medium
2000000,6,35,10,3,Agile,Blockchain,medium
4000000,6,46,9,15,Spiral,Cybersecurity,high
2000000,6,48,2,4,Waterfall,DevOps,high
4000000,4,22,2,6,Agile,Blockchain,low
1000000,6,22,7,2,Waterfall,DevOps,medium
4000000,6,8,9,17,Waterfall,Enterprise Software,medium
3000000,6,28,4,20,Spiral,Mobile App,high
1000000,6,9,4,17,V-Model,AI/ML,medium
5000000,6,9,3,4,Iterative,Web Development,low
4000000,4,42,5,16,Waterfall,AI/ML,high
1000000,4,20,6,5,Agile,AI/ML,low
5000000,4,11,5,16,Iterative,IoT,low
3000000,6,20,8,10,Waterfall,Blockchain,medium
4000000,4,21,7,1,Agile,Enterprise Software,low
3000000,4,42,7,17,Agile,Web Development,high
3000000,4,21,9,2,Iterative,Blockchain,medium
5000000,4,21,10,11,Spiral,IoT,high
4000000,6,27,4,16,Agile,Cybersecurity,low
2000000,6,40,2,16,Spiral,Data Analytics,high
4000000,4,29,4,14,Agile,Mobile App,low
3000000,6,33,2,7,Agile,Cloud Migration,medium
3000000,6,24,5,19,Waterfall,Data Analytics,medium
5000000,4,10,3,12,Spiral,Mobile App,low
1000000,6,38,3,19,Agile,AI/ML,high
5000000,4,34,5,20,Agile,Cloud Migration,medium
5000000,6,48,8,14,Iterative,Blockchain,high
3000000,6,40,4,5,Spiral,Cloud Migration,high
3000000,6,35,9,13,Agile,Enterprise Software,high
3000000,4,34,5,4,Agile,Web Development,medium
1000000,4,31,4,4,Agile,Cloud Migration,medium
3000000,4,20,6,14,Waterfall,Cybersecurity,low
3000000,4,41,2,6,Spiral,Enterprise Software,high
1000000,4,27,3,2,Agile,Mobile App,medium
5000000,4,12,10,8,Agile,Enterprise Software,low
3000000,4,36,2,14,Agile,AI/ML,high
1000000,6,45,9,13,Agile,Enterprise Software,high
1000000,4,27,6,6,Agile,Enterprise Software,medium
2000000,6,39,4,15,Agile,DevOps,medium
5000000,6,19,3,2,Agile,Data Analytics,low
2000000,6,37,6,17,Iterative,DevOps,medium
1000000,6,39,10,19,Waterfall,AI/ML,high
3000000,4,14,2,14,Spiral,Web Development,low
1000000,4,14,9,9,V-Model,AI/ML,medium
3000000,4,44,1,3,Waterfall,Mobile App,high
1000000,6,44,9,4,Agile,AI/ML,high
4000000,4,11,4,7,Agile,Data Analytics,low
3000000,6,32,9,12,Iterative,Mobile App,high
5000000,4,7,9,11,Iterative,Web Development,medium
3000000,6,37,6,9,Iterative,IoT,high
1000000,4,40,2,9,Spiral,Data Analytics,high
1000000,6,23,1,4,Waterfall,Mobile App,medium
2000000,4,19,1,13,Iterative,Mobile App,medium
4000000,4,32,7,7,Agile,Cloud Migration,high
3000000,6,18,6,5,V-Model,Cybersecurity,medium
2000000,6,18,7,10,Waterfall,IoT,medium
5000000,4,24,8,4,Prototyping,Blockchain,medium
5000000,6,6,2,4,Spiral,Enterprise Software,low
3000000,4,27,1,6,Iterative,IoT,low
2000000,4,44,4,6,Agile,Mobile App,high
5000000,6,33,7,17,Agile,Blockchain,medium
1000000,4,7,1,6,Waterfall,Cybersecurity,low
1000000,6,33,9,6,Agile,Enterprise Software,high
1000000,4,7,3,19,Iterative,Mobile App,low
3000000,6,34,10,1,Iterative,Blockchain,high
1000000,4,6,4,11,Waterfall,Data Analytics,low
2000000,6,8,2,2,Waterfall,Mobile App,low
4000000,4,47,2,18,Prototyping,Blockchain,medium
4000000,4,12,9,16,Agile,Data Analytics,medium
2000000,6,6,6,6,Agile,AI/ML,low
5000000,6,31,10,11,Spiral,Blockchain,high
5000000,6,41,2,10,Agile,Mobile App,medium
2000000,4,15,7,13,Spiral,Blockchain,medium
3000000,6,25,5,10,Agile,Enterprise Software,low
4000000,6,13,4,10,Waterfall,Cybersecurity,low
2000000,4,21,3,19,V-Model,Enterprise Software,low
2000000,6,22,1,19,Waterfall,IoT,medium
2000000,6,38,5,19,Agile,Cloud Migration,high
5000000,4,38,6,12,Agile,Mobile App,high
1000000,4,35,3,16,Agile,Cybersecurity,medium
4000000,4,31,9,12,Spiral,Data Analytics,high
1000000,6,34,8,19,Spiral,AI/ML,high
1000000,4,12,8,6,Agile,Data Analytics,low
1000000,6,22,6,11,Waterfall,Cybersecurity,high
3000000,4,31,9,15,Spiral,IoT,high
4000000,4,13,10,1,Waterfall,Enterprise Software,medium
3000000,6,19,3,17,Waterfall,Enterprise Software,low
2000000,4,23,5,4,Spiral,AI/ML,medium
5000000,4,9,3,8,Agile,Web Development,low
4000000,4,17,7,2,Iterative,Mobile App,medium
1000000,4,8,8,19,Iterative,Cloud Migration,medium
1000000,6,30,5,12,Prototyping,AI/ML,medium
1000000,4,11,3,7,Agile,IoT,low
3000000,6,10,2,6,Prototyping,Cybersecurity,low
4000000,4,42,9,7,Prototyping,Data Analytics,high
1000000,4,20,5,9,Agile,Cloud Migration,low
1000000,4,8,2,8,Agile,Web Development,low
4000000,4,25,5,8,Iterative,Blockchain,medium
3000000,4,44,6,15,Iterative,Enterprise Software,high
4000000,6,45,3,15,Waterfall,IoT,high
2000000,6,47,6,1,Agile,DevOps,high
4000000,4,17,6,5,Agile,IoT,low
4000000,6,21,8,13,Agile,Mobile App,medium
5000000,6,38,10,15,Spiral,Cloud Migration,medium
4000000,4,46,10,6,Agile,Data Analytics,high
1000000,4,17,3,12,Prototyping,DevOps,low
3000000,4,33,5,16,Waterfall,AI/ML,high
4000000,6,43,3,19,Agile,Web Development,medium
5000000,6,35,3,15,Agile,Cloud Migration,medium
5000000,4,12,5,14,Agile,Enterprise Software,low
1000000,6,23,5,2,Iterative,IoT,low
1000000,4,27,10,1,Agile,Cloud Migration,medium
5000000,6,40,6,1,Spiral,AI/ML,high
5000000,6,44,10,9,Prototyping,Data Analytics,high
1000000,6,37,5,17,Iterative,Cybersecurity,medium
2000000,6,34,1,4,Waterfall,IoT,high
1000000,6,31,4,10,Iterative,Enterprise Software,medium
2000000,6,36,9,12,Iterative,DevOps,high
4000000,4,23,5,19,Iterative,Web Development,low
5000000,4,31,5,7,Agile,Data Analytics,medium
4000000,6,36,1,20,Agile,Cybersecurity,high
4000000,4,16,8,10,Agile,AI/ML,low
2000000,6,42,6,3,Agile,Enterprise Software,high
2000000,6,44,10,17,Agile,Blockchain,high
3000000,6,45,5,3,Agile,Web Development,high
3000000,4,34,1,17,Agile,Web Development,medium
3000000,6,19,8,10,Iterative,Blockchain,low
2000000,6,37,3,11,Spiral,IoT,medium
1000000,4,16,9,17,Iterative,Cybersecurity,low
3000000,6,48,8,20,Agile,Enterprise Software,high
2000000,4,28,4,3,Agile,Mobile App,low
4000000,4,45,8,10,Iterative,Data Analytics,high
2000000,6,44,8,19,Agile,AI/ML,high
4000000,4,34,4,16,Iterative,Data Analytics,medium
2000000,4,23,4,19,Agile,AI/ML,low
5000000,4,12,9,4,V-Model,Enterprise Software,medium
5000000,4,41,2,1,Agile,Blockchain,medium
2000000,6,6,3,19,Spiral,Web Development,low
1000000,4,15,2,2,Agile,DevOps,low
1000000,4,47,8,1,Iterative,Enterprise Software,high
4000000,6,12,3,9,Spiral,Enterprise Software,medium
1000000,4,6,9,8,Spiral,Web Development,low
4000000,6,25,7,3,Agile,Cybersecurity,low
1000000,4,43,10,4,Spiral,AI/ML,high
5000000,4,19,5,20,Spiral,Data Analytics,low
1000000,4,42,2,2,Agile,Mobile App,high
3000000,6,27,8,13,Spiral,Cloud Migration,high
5000000,6,39,1,16,Agile,IoT,medium
5000000,6,38,8,14,Iterative,DevOps,high
2000000,4,35,2,6,Agile,Mobile App,medium
5000000,4,47,5,12,Prototyping,AI/ML,high
1000000,6,38,7,6,Iterative,Web Development,medium
1000000,4,20,7,9,Prototyping,Mobile App,low
4000000,6,45,9,10,Agile,Data Analytics,high
2000000,4,46,9,1,Agile,IoT,high
4000000,4,6,5,9,Agile,Data Analytics,low
4000000,6,24,8,7,Spiral,Enterprise Software,medium
3000000,6,42,2,15,Waterfall,Blockchain,medium
2000000,4,13,6,20,Spiral,Cybersecurity,low
2000000,4,9,7,14,Agile,Mobile App,low
5000000,4,9,5,17,Agile,Cybersecurity,low
2000000,6,24,3,8,Iterative,Cybersecurity,low
1000000,6,42,4,17,Agile,Cybersecurity,medium
4000000,6,18,7,12,Agile,AI/ML,medium
1000000,6,8,5,2,Agile,Cybersecurity,low
1000000,6,48,5,5,Agile,Mobile App,high
5000000,6,19,1,7,Agile,Blockchain,low
2000000,6,6,4,3,Waterfall,Cloud Migration,low
2000000,4,36,6,20,Agile,Blockchain,medium
5000000,4,34,2,4,Agile,Cybersecurity,medium
4000000,4,26,3,7,Waterfall,Mobile App,medium
1000000,6,46,7,15,Spiral,Web Development,high
1000000,4,32,9,8,Agile,AI/ML,high
4000000,4,20,3,3,Waterfall,Data Analytics,low
1000000,4,20,5,12,Spiral,AI/ML,medium
4000000,4,12,9,13,Iterative,Blockchain,medium
3000000,6,22,5,14,Iterative,AI/ML,low
1000000,6,15,4,19,Iterative,Mobile App,low
1000000,6,44,10,17,Spiral,Cybersecurity,high
3000000,6,39,6,16,V-Model,Blockchain,high
1000000,6,41,1,9,Waterfall,Web Development,medium
3000000,4,22,4,6,Agile,Blockchain,medium
3000000,6,12,8,8,Waterfall,Blockchain,medium
2000000,6,26,9,10,Iterative,Cybersecurity,medium
1000000,4,43,10,13,Waterfall,DevOps,high
4000000,4,46,8,15,Agile,Data Analytics,high
2000000,6,36,9,8,Agile,Blockchain,high
5000000,6,11,1,7,Agile,IoT,low
3000000,6,15,2,15,V-Model,DevOps,low
2000000,4,31,1,11,Iterative,Cloud Migration,medium
2000000,6,12,7,17,Iterative,Data Analytics,low
1000000,6,22,5,11,Agile,AI/ML,low
3000000,6,24,8,17,Agile,Cybersecurity,medium
1000000,6,24,3,1,Agile,Cloud Migration,low
5000000,4,17,2,8,Waterfall,Mobile App,low
2000000,4,18,6,2,Agile,IoT,low
4000000,4,20,7,8,Agile,Mobile App,low
3000000,6,9,9,20,Iterative,AI/ML,low
5000000,4,25,6,13,Waterfall,Cloud Migration,high
2000000,4,37,9,15,V-Model,IoT,high
5000000,6,25,10,13,Agile,Mobile App,medium
5000000,4,21,1,13,Agile,Blockchain,low
5000000,4,11,9,16,Spiral,Blockchain,medium
1000000,4,49,1,12,Spiral,Cybersecurity,high
3000000,6,16,2,16,Iterative,Mobile App,low
5000000,4,26,7,3,Spiral,Mobile App,medium
5000000,4,26,7,10,Prototyping,Enterprise Software,medium
3000000,4,11,9,10,Agile,Cloud Migration,medium
4000000,4,17,1,9,Waterfall,Cybersecurity,low
1000000,4,19,6,3,Iterative,Blockchain,low
5000000,6,10,7,7,Spiral,AI/ML,low
1000000,6,7,10,2,Agile,Data Analytics,low
5000000,4,30,3,7,Waterfall,Enterprise Software,medium
2000000,4,45,9,5,Agile,AI/ML,high
1000000,6,10,9,14,Waterfall,Mobile App,medium
4000000,4,23,9,20,Waterfall,Blockchain,high
1000000,6,18,4,6,Agile,Cybersecurity,medium
1000000,6,29,10,20,Iterative,Web Development,medium
3000000,6,10,7,8,Agile,Cloud Migration,low
3000000,6,38,8,20,Iterative,Blockchain,medium
4000000,4,42,1,4,Waterfall,AI/ML,high
5000000,6,19,10,9,Spiral,Enterprise Software,high
2000000,6,26,6,9,Iterative,Cybersecurity,low
5000000,6,16,1,12,Iterative,Web Development,low
5000000,6,6,5,11,Agile,Blockchain,low
2000000,4,20,4,17,Spiral,AI/ML,medium
2000000,6,34,9,6,Agile,Web Development,high
5000000,6,38,4,7,Agile,AI/ML,medium
4000000,6,49,1,8,Waterfall,AI/ML,high
4000000,4,5,4,2,Spiral,IoT,low
2000000,4,49,4,17,Waterfall,Data Analytics,high
1000000,6,37,6,5,Waterfall,DevOps,high
1000000,6,27,2,14,Waterfall,DevOps,low
2000000,4,46,6,14,Iterative,Cybersecurity,high
2000000,4,49,4,6,Iterative,Mobile App,high
3000000,4,14,4,7,Iterative,Data Analytics,low
3000000,4,40,1,7,Waterfall,Cloud Migration,high
2000000,6,11,9,12,V-Model,DevOps,low
1000000,4,33,6,17,Waterfall,Mobile App,medium
4000000,6,25,7,17,V-Model,Web Development,high
1000000,4,36,2,3,Spiral,DevOps,medium
4000000,4,8,4,1,Iterative,Web Development,low
1000000,6,49,5,3,Spiral,DevOps,high
2000000,6,21,7,7,Spiral,IoT,medium
2000000,6,38,7,3,V-Model,Data Analytics,high
3000000,6,15,1,16,Agile,AI/ML,low
3000000,6,35,4,19,Agile,Enterprise Software,medium
3000000,6,47,5,10,Waterfall,Data Analytics,high
3000000,6,13,8,1,Iterative,Blockchain,low
5000000,4,35,10,8,Agile,IoT,high
3000000,4,24,7,18,Waterfall,DevOps,high
1000000,6,16,10,13,Agile,Cloud Migration,low
3000000,4,31,8,9,Agile,AI/ML,high
5000000,6,14,6,1,Iterative,Data Analytics,low
5000000,4,43,4,4,Waterfall,Enterprise Software,high
4000000,4,14,8,14,Waterfall,AI/ML,low
2000000,4,45,9,17,Agile,Web Development,high
4000000,6,28,5,11,Agile,Blockchain,low
1000000,6,26,2,19,Iterative,DevOps,low
5000000,4,46,4,1,Prototyping,Blockchain,medium
2000000,6,47,2,18,Agile,IoT,medium
1000000,4,39,3,3,Agile,Web Development,medium
5000000,4,6,2,3,Spiral,Mobile App,low
1000000,6,8,4,18,Agile,Blockchain,low
1000000,4,7,2,9,Iterative,Cloud Migration,low
1000000,4,20,1,18,Spiral,Mobile App,medium
1000000,4,46,5,20,V-Model,IoT,high
5000000,4,27,7,12,Agile,Cybersecurity,medium
3000000,6,24,6,11,Spiral,AI/ML,medium
3000000,6,48,10,13,Agile,Blockchain,high
3000000,4,47,8,8,Waterfall,Data Analytics,high
1000000,4,15,7,7,Agile,Mobile App,low
2000000,6,15,9,10,Spiral,Enterprise Software,high
2000000,4,42,6,8,Agile,Cloud Migration,medium
4000000,4,24,8,10,Iterative,Cloud Migration,medium
5000000,6,14,2,20,Iterative,DevOps,low
4000000,4,9,2,18,Spiral,Cloud Migration,low
1000000,4,38,6,11,Waterfall,Data Analytics,high
4000000,4,17,5,13,Agile,Cloud Migration,low
5000000,6,22,4,2,Waterfall,Enterprise Software,medium
2000000,4,16,2,13,V-Model,Blockchain,low
1000000,4,24,3,16,Iterative,Enterprise Software,medium
2000000,6,32,6,18,Prototyping,Web Development,high
1000000,6,38,2,9,Agile,Cybersecurity,medium
1000000,4,28,8,17,Spiral,Mobile App,high
3000000,6,23,9,6,Iterative,Web Development,medium
2000000,4,48,3,5,Prototyping,AI/ML,high
4000000,4,40,9,10,Iterative,Data Analytics,high
5000000,4,13,2,4,Agile,Blockchain,low
3000000,6,49,2,19,Agile,Web Development,high
1000000,4,21,8,10,Agile,Data Analytics,medium
5000000,6,19,1,9,Agile,Cybersecurity,low
4000000,4,10,1,11,Waterfall,Cybersecurity,low
2000000,6,47,9,11,Iterative,Blockchain,high
4000000,6,5,5,17,Spiral,Mobile App,low
5000000,4,24,1,5,Agile,Cloud Migration,low
3000000,4,44,9,9,Spiral,Cybersecurity,high
5000000,6,34,9,1,Waterfall,Data Analytics,high
3000000,6,40,10,19,Agile,Data Analytics,high
3000000,6,36,3,11,Agile,DevOps,high
3000000,4,46,1,10,Agile,AI/ML,high
2000000,6,36,8,3,Iterative,DevOps,high
1000000,6,23,2,13,Iterative,Mobile App,low
5000000,4,47,4,13,Agile,IoT,high
4000000,6,32,5,20,Agile,IoT,medium
4000000,4,37,7,2,Agile,Blockchain,medium
1000000,6,23,3,9,Agile,Data Analytics,low
3000000,6,11,2,7,Waterfall,AI/ML,medium
4000000,4,17,3,13,Agile,Data Analytics,low
1000000,6,22,10,14,Agile,Cybersecurity,medium
5000000,4,24,9,5,Waterfall,Data Analytics,high
2000000,6,26,5,13,Agile,Enterprise Software,low
1000000,6,22,4,15,Agile,DevOps,low
1000000,6,11,1,8,V-Model,DevOps,low
1000000,6,22,3,12,Waterfall,DevOps,medium
2000000,4,48,5,9,Agile,Cybersecurity,high
4000000,6,8,7,6,Waterfall,IoT,low
4000000,4,13,1,16,Prototyping,Blockchain,low
5000000,6,42,9,16,Agile,Data Analytics,high
4000000,6,49,10,17,Agile,Cybersecurity,high
1000000,4,40,1,1,Waterfall,Web Development,high
4000000,6,41,8,7,Waterfall,IoT,high
4000000,6,30,9,14,Waterfall,Data Analytics,medium
3000000,4,41,9,11,Agile,Cloud Migration,high
1000000,6,35,1,13,Iterative,Web Development,medium
4000000,4,19,10,2,Agile,Cloud Migration,medium
1000000,6,31,4,15,Agile,Blockchain,medium
5000000,4,5,5,13,Agile,Enterprise Software,low
3000000,4,16,9,20,Agile,Web Development,low
1000000,4,42,5,3,Iterative,Mobile App,high
5000000,4,16,10,12,Agile,Cloud Migration,medium
3000000,4,33,8,9,Agile,Enterprise Software,high
5000000,6,5,8,8,Agile,Mobile App,low
3000000,6,35,8,7,Spiral,Cloud Migration,high
3000000,6,5,3,15,Iterative,Blockchain,low
1000000,4,30,8,14,Prototyping,DevOps,medium
1000000,6,6,7,8,Waterfall,AI/ML,low
2000000,4,48,9,17,Agile,AI/ML,high
2000000,4,43,5,11,Agile,Mobile App,medium
5000000,4,22,4,17,Waterfall,Cloud Migration,low
2000000,4,45,10,4,Agile,Web Development,high
4000000,4,19,4,8,Spiral,Mobile App,medium
4000000,6,37,4,14,Prototyping,AI/ML,high
4000000,4,29,1,2,Agile,IoT,low
3000000,4,30,5,8,Iterative,Cybersecurity,medium
1000000,4,34,6,4,Agile,DevOps,medium
2000000,4,15,4,14,Agile,Blockchain,medium
1000000,6,8,5,18,Waterfall,Cloud Migration,low
5000000,4,41,9,4,Agile,AI/ML,high
1000000,4,15,10,1,Waterfall,Enterprise Software,high
3000000,6,8,9,7,V-Model,IoT,medium
4000000,6,7,8,19,Agile,Blockchain,low
2000000,4,8,7,4,Waterfall,Cybersecurity,low
4000000,4,14,3,10,Agile,AI/ML,low
3000000,6,33,1,14,Prototyping,Data Analytics,low
1000000,4,36,8,5,Iterative,Blockchain,medium
4000000,4,42,3,18,Agile,Cloud Migration,high
1000000,4,15,6,7,Agile,Enterprise Software,low
1000000,6,47,7,13,Agile,DevOps,high
4000000,4,37,10,18,V-Model,IoT,high
4000000,6,24,6,8,Agile,Mobile App,medium
3000000,6,19,4,17,Agile,IoT,low
3000000,6,22,4,6,Agile,AI/ML,low
2000000,4,24,3,10,Agile,Web Development,medium
4000000,6,24,5,4,Iterative,Data Analytics,medium
3000000,4,17,2,20,Spiral,Web Development,low
2000000,6,6,7,4,Waterfall,Blockchain,low
1000000,4,49,10,19,Prototyping,AI/ML,high
5000000,6,17,9,19,Spiral,Mobile App,medium
5000000,4,44,9,7,Agile,Web Development,high
4000000,4,7,2,4,Agile,Cybersecurity,low
4000000,4,42,10,10,Waterfall,DevOps,high
4000000,4,21,5,18,Prototyping,Enterprise Software,low
4000000,6,26,6,3,Agile,Blockchain,medium
2000000,4,20,2,13,Agile,Cloud Migration,low
2000000,4,38,8,12,Waterfall,Cybersecurity,high
2000000,6,6,7,12,Agile,Cybersecurity,low
1000000,6,36,1,14,Waterfall,Cybersecurity,medium
2000000,4,16,10,15,Iterative,IoT,low
2000000,4,48,10,4,Iterative,Cybersecurity,high
5000000,6,40,8,16,Spiral,Web Development,high
5000000,6,44,4,11,Spiral,IoT,high
5000000,4,48,1,1,Iterative,Cybersecurity,high
3000000,4,43,4,10,Waterfall,Blockchain,high
5000000,6,36,9,3,Agile,Cybersecurity,medium
1000000,6,30,8,16,Agile,AI/ML,high
4000000,6,22,8,3,Agile,Cybersecurity,medium
